Common_Name,Symbol,Scientific_Name_x,Scientific_Name_y,Species,Category,Family,Family_Common_Name,xOrder,SubClass,Class,SubDivision,Division,SuperDivision,SubKingdom,Kingdom,Duration,Growth_Habit,Growth_Rate,Height_Mature_feet,Lifespan,Toxicity,Temperature_Minimum_F,Bloom_Period,Fruit_Seed_Period_Begin,Fruit_Seed_Period_End,Fruit_Seed_Abundance
balsam fir,ABBA,Abies balsamea (L.) Mill.,Abies balsamea,balsamea,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,60,Short,None,-43,Mid Summer,Fall,Fall,Medium
white fir,ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Abies concolor,concolor,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,120,Long,None,-38,Late Spring,Summer,Fall,Medium
Fraser fir,ABFR,Abies fraseri (Pursh) Poir.,Abies fraseri,fraseri,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,55,Moderate,None,-23,Mid Spring,Spring,Fall,Medium
grand fir,ABGR,Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,grandis,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,150,Long,None,-33,Late Spring,Summer,Fall,Medium
glossy abelia,ABGR4,Abelia ×grandiflora (Rovelli ex André) Rehder,Abelia ×grandiflora,grandiflora,Dicot,Caprifoliaceae,Honeysuckle family,Dipsacales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Rapid,6.0,Moderate,None,-13,Late Summer,Summer,Fall,None
subalpine fir,ABLA,Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,lasiocarpa,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,90,Long,None,-51,Late Spring,Summer,Fall,Medium
California red fir,ABMA,Abies magnifica A. Murray bis,Abies magnifica,magnifica,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,150,Long,None,-23,Late Spring,Summer,Fall,High
noble fir,ABPR,Abies procera Rehder,Abies procera,procera,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,230,Long,None,-23,Late Spring,Spring,Fall,Low
calamus,ACCA4,Acorus calamus L.,Acorus calamus,calamus,Monocot,Acoraceae,Calamus family,Arales,Arecidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,5.0,Moderate,None,-38,Late Spring,Summer,Summer,Low
whitethorn acacia,ACCO2,Acacia constricta Benth.,Acacia constricta,constricta,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,9.0,Moderate,Slight,-13,Late Spring,Summer,Fall,High
Columbian monkshood,ACCO4,Aconitum columbianum Nutt.,Aconitum columbianum,columbianum,Dicot,Ranunculaceae,Buttercup family,Ranunculales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,5.0,Moderate,Moderate,-28,Early Summer,Summer,Summer,Medium
coastal wattle,ACCY2,Acacia cyclops A. Cunn. ex G. Don,Acacia cyclops,cyclops,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Rapid,12,Short,None,14,Mid Spring,Summer,Fall,High
Douglas maple,ACGLD4,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Acer glabrum var. douglasii,glabrum,Dicot,Aceraceae,Maple family,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,30,Moderate,None,-13,Late Spring,Summer,Fall,Medium
catclaw acacia,ACGR,Acacia greggii A. Gray,Acacia greggii,greggii,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,20,Long,None,-13,Mid Spring,Summer,Fall,High
Indian ricegrass,ACHY,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Achnatherum hymenoides,hymenoides,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Short,None,-43,Late Spring,Spring,Summer,Medium
Letterman's needlegrass,ACLE9,Achnatherum lettermanii (Vasey) Barkworth,Achnatherum lettermanii,lettermanii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Moderate,None,-28,Summer,Summer,Fall,Low
