zipcode,zone,city,state,latitude,longitude,trange
00705,12b,AIBONITO,PR,18.14,-66.26,55 to 60
00610,12b,ANASCO,PR,18.28,-67.14,55 to 60
00612,12b,ARECIBO,PR,18.45,-66.73,55 to 60
00601,11b,ADJUNTAS,PR,18.16,-66.72,45 to 50
00602,12b,AGUADA,PR,18.38,-67.18,55 to 60
00603,13a,AGUADILLA,PR,18.43,-67.15,60 to 65
00703,12b,AGUAS BUENAS,PR,18.25,-66.1,55 to 60
00704,13a,AGUIRRE,PR,17.96,-66.22,60 to 65
07675,7a,WESTWOOD,NJ,40.98,-74.03,0 to 5
07677,7a,WOODCLIFF LAKE,NJ,41.02,-74.05,0 to 5
07885,6a,WHARTON,NJ,40.89,-74.58,-10 to -5
07981,6b,WHIPPANY,NJ,40.82,-74.41,-5 to 0
07999,6b,WHIPPANY,NJ,40.82,-74.41,-5 to 0
08889,6b,WHITEHOUSE STATION,NJ,40.6,-74.76,-5 to 0
07095,7a,WOODBRIDGE,NJ,40.55,-74.28,0 to 5
07481,6b,WYCKOFF,NJ,40.99,-74.16,-5 to 0
10451,7b,BRONX,NY,40.84,-73.87,5 to 10
10452,7b,BRONX,NY,40.84,-73.87,5 to 10
10453,7a,BRONX,NY,40.84,-73.87,0 to 5
10454,7b,BRONX,NY,40.84,-73.87,5 to 10
10455,7b,BRONX,NY,40.84,-73.87,5 to 10
10456,7b,BRONX,NY,40.84,-73.87,5 to 10
10457,7a,BRONX,NY,40.84,-73.87,0 to 5
10458,7a,BRONX,NY,40.84,-73.87,0 to 5
10459,7b,BRONX,NY,40.84,-73.87,5 to 10
10460,7a,BRONX,NY,40.84,-73.87,0 to 5
10461,7b,BRONX,NY,40.84,-73.87,5 to 10
10462,7b,BRONX,NY,40.84,-73.87,5 to 10
10463,7a,BRONX,NY,40.84,-73.87,0 to 5
10464,7a,BRONX,NY,40.84,-73.87,0 to 5
10465,7b,BRONX,NY,40.84,-73.87,5 to 10
10466,7a,BRONX,NY,40.84,-73.87,0 to 5
10467,7a,BRONX,NY,40.84,-73.87,0 to 5
10468,7a,BRONX,NY,40.84,-73.87,0 to 5
10469,7a,BRONX,NY,40.84,-73.87,0 to 5
10470,7a,BRONX,NY,40.84,-73.87,0 to 5
10471,7a,BRONX,NY,40.84,-73.87,0 to 5
10472,7b,BRONX,NY,40.84,-73.87,5 to 10
10473,7b,BRONX,NY,40.84,-73.87,5 to 10
10474,7b,BRONX,NY,40.84,-73.87,5 to 10
10475,7a,BRONX,NY,40.84,-73.87,0 to 5
10001,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10002,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10003,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10004,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10005,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10006,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10007,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10009,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10010,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10011,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10012,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10013,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10014,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10016,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10017,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10018,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10019,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10020,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10021,7b,NEW YORK,NY,40.77,-73.95,5 to 10
10022,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10023,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10024,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10025,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10026,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10027,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10028,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10029,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10030,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10031,7b,NEW YORK,NY,40.71,-73.99,5 to 10
10032,7a,NEW YORK,NY,40.71,-73.99,0 to 5
10033,7a,NEW YORK,NY,40.71,-73.99,0 to 5
10034,7a,NEW YORK,NY,40.71,-73.99,0 to 5
00714,13a,ARROYO,PR,17.97,-66.06,60 to 65
00616,12b,BAJADERO,PR,18.4,-66.66,55 to 60
00617,13a,BARCELONETA,PR,18.45,-66.53,60 to 65
00794,12a,BARRANQUITAS,PR,18.18,-66.3,50 to 55
00622,12b,BOQUERON,PR,17.99,-67.15,55 to 60
00623,12b,CABO ROJO,PR,18.08,-67.14,55 to 60
00627,12b,CAMUY,PR,18.48,-66.84,55 to 60
00729,13a,CANOVANAS,PR,18.37,-65.9,60 to 65
00979,13b,CAROLINA,PR,18.4,-65.98,65 to 70
00982,13b,CAROLINA,PR,18.4,-65.98,65 to 70
00983,13b,CAROLINA,PR,18.4,-65.98,65 to 70
00985,13b,CAROLINA,PR,18.4,-65.98,65 to 70
00987,13b,CAROLINA,PR,18.4,-65.98,65 to 70
00736,12a,CAYEY,PR,18.11,-66.16,50 to 55
00739,12b,CIDRA,PR,18.17,-66.15,55 to 60
00769,12b,COAMO,PR,18.08,-66.36,55 to 60
00782,12b,COMERIO,PR,18.22,-66.22,55 to 60
00783,12b,COROZAL,PR,18.34,-66.31,55 to 60
00659,12b,HATILLO,PR,18.48,-66.82,55 to 60
00660,12b,HORMIGUEROS,PR,18.14,-67.12,55 to 60
00791,13a,HUMACAO,PR,18.15,-65.81,60 to 65
00662,13a,ISABELA,PR,18.5,-67.02,60 to 65
00664,11b,JAYUYA,PR,18.22,-66.59,45 to 50
00795,12b,JUANA DIAZ,PR,18.05,-66.5,55 to 60
00777,12b,JUNCOS,PR,18.22,-65.91,55 to 60
00728,12b,PONCE,PR,17.98,-66.6,55 to 60
00725,12b,CAGUAS,PR,18.23,-66.03,55 to 60
00727,12b,CAGUAS,PR,18.23,-66.03,55 to 60
00735,13b,CEIBA,PR,18.26,-65.64,65 to 70
00638,12b,CIALES,PR,18.33,-66.47,55 to 60
00780,12b,COTO LAUREL,PR,18.09,-66.57,55 to 60
00646,13a,DORADO,PR,18.47,-66.27,60 to 65
00647,13a,ENSENADA,PR,17.96,-66.94,60 to 65
00738,13a,FAJARDO,PR,18.33,-65.65,60 to 65
00650,12b,FLORIDA,PR,18.36,-66.56,55 to 60
00652,13a,GARROCHALES,PR,18.45,-66.6,60 to 65
00653,13a,GUANICA,PR,17.97,-66.93,60 to 65
00784,13a,GUAYAMA,PR,17.97,-66.11,60 to 65
00656,13a,GUAYANILLA,PR,18.02,-66.79,60 to 65
00965,13a,GUAYNABO,PR,18.38,-66.11,60 to 65
